,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Red Hot Chili Peppers - Can't Stop (Offical Music Video).mp3,184.5703125,231083,1312.971590909091,0.44214803308826717,0.29764240977271356,0.08859100409530792,0.5571496960856647,0.25106015887874866,0.06303120337622252,0.26829585243699394,0.10653951801298947,0.011350668898440108,2.4228820296175377,15.922440990547733,253.5241270974747,-1.779496972753975,44.09332903006914,1944.221664953938,0.011669018877487431,2.8801084023953565,8.295024409548333,0.10307706147432327,0.050219908356666565,0.0025220392271876335,2825.992511688844,858.6045386047701,737201.7537127102,2453.422939089729,516.7461932138937,267026.62820105074,20.160693858230857,6.923860911120016,47.9398499165357,5590.674527289329,1541.7537758090157,2377004.7052213564,1.4473051063697435,1.9857235355172316,3.943097959507054,0.01750794378004065,0.05607599354188266,0.0031445170517092657,0.15161926458494582,0.08800549701815834,0.007744967505413077,1.7605974562684423e-06,0.0713343396782875,0.00508858822286129,2.933518032932625e-07,0.06693591922521591,0.004480417352169752,3.4597732426303858,0.9719707712353539,0.9447271801358488
2,Alan Walker - Diamond Heart (feat. Sophia Somajo).mp3,89.10290948275862,109540,1335.8536585365853,0.2849011089729957,0.2983098973495322,0.08898879485668844,0.42031138457876527,0.2799449312141481,0.07836916451249411,0.2425652280981219,0.15651020238642416,0.02449544345103945,5.0201574332712875,47.22580900011474,2230.277035715318,-4.998395034246764,46.376819841946144,2150.80941865233,0.012083860397781547,2.099237143970904,4.406796586627119,0.1317819207906723,0.0751105397939682,0.005641593597829342,2161.3264989515997,812.1834127068972,659641.8958762222,2403.8309454959694,515.6450951589565,265889.8641614893,20.69084451098997,6.145807552618568,37.77095047382344,4538.035059122847,1758.0775163036778,3090836.5533325085,1.5367875406861171,2.07327576704857,4.298472406230838,0.0055513354099462715,0.08945207243526622,0.008001673262964115,0.08438233177728328,0.05204476858707628,0.0027086579372823222,5.472911198012298e-06,0.1258998066186905,0.01585076004266739,2.1776042558485642e-05,0.051695190370082855,0.002672392874956131,6.81621768707483,1.8827857665622012,3.5448822427692157
3,bülow - Sweet Little Lies.mp3,161.4990234375,200957,1279.9808917197452,0.2919607555654311,0.30718541124235244,0.09436287688013319,0.4076064010030449,0.2920794542332314,0.08531040758518232,0.24041964520868667,0.1597865060981764,0.025531727531062566,0.5830273736608548,5.182116000222537,26.854326239762425,-11.708654464441674,66.17359371270767,4378.944504854505,0.011996020077281788,3.5568065234574227,12.650872645309278,0.04609600454568863,0.022296493873000145,0.0004971336456947029,2321.4475616714262,1168.30316376742,1364932.282468963,2252.749546691089,899.0155043968826,808228.8771459813,20.4660056587536,6.070958520408491,36.85653735652045,4771.008650363414,2439.004346711346,5948742.203276839,0.5032457856072484,0.6280939044496666,0.3945019528068269,0.015152420266902606,0.0914842914764779,0.008369375586953165,0.09640228932856038,0.06776938518570699,0.004592689568448722,-1.9354868072696263e-06,0.039401572197675705,0.0015524839982390404,9.59197677730117e-07,0.024246105924248695,0.0005878736265003681,5.86768253968254,3.017630322331483,9.10609276225441
4,Becky G - Sola (Official Music Video).mp3,129.19921875,159657,1287.5564516129032,0.3763765064007814,0.3200631462411633,0.10244041758179229,0.49243306046927454,0.2929245614625234,0.08580479870801162,0.255111532201091,0.13509788847848447,0.01825143947134503,7.653639288704656,88.76645808181419,7879.484080390475,-5.62278805824455,43.70560266695635,1910.1797044818625,0.012201944950475158,3.118436985699137,9.724649233776319,0.15845972299575806,0.10098638385534286,0.010198249481618404,2989.51523954782,1096.4091808869005,1202113.0919330842,2654.8220662201243,590.9092398601488,349173.7297520988,20.768404103009424,6.991807339238515,48.88536986902956,6100.850608991026,1781.2738588705552,3172936.560295598,1.7484093617182066,2.324281564538773,5.402284791254807,0.011782708607583188,0.07422216260782327,0.00550892942218216,0.1422015210792376,0.10354322860807738,0.010721200190584574,-4.670443104259903e-06,0.14092063903808594,0.019858628511428833,-6.13545416854322e-05,0.09039982408285141,0.008172128349542618,3.287945578231293,1.1862056498724696,1.4070838437893678
5,Anne-Marie - Ciao Adios [Official Video].mp3,143.5546875,174184,1488.7521367521367,0.30216512677862356,0.3045304871976563,0.0927388176328419,0.4624963359381745,0.28974597950525866,0.08395273263946176,0.249698794552992,0.1448580178385582,0.020983845332116044,5.838863413547979,51.13969998512543,2615.268914568638,-4.956702516515212,53.607624794739664,2873.7774361335864,0.013876112000887494,3.1023538939342163,9.624599683208796,0.13857980072498322,0.08758629113435745,0.0076713585294783115,2206.184466782248,987.0554234357975,974278.4089340215,2404.6853029799067,659.0660869223037,434368.1069310776,21.78248248647049,6.758810680369362,45.68152181307496,4657.988500447465,2206.270752896062,4867630.635084556,1.5059370476503267,2.203613054979617,4.855910496076602,0.010023122740397778,0.0750671826577236,0.005635081912168037,0.08776817676083591,0.05782790584701496,0.0033440666946512264,-8.066859663813375e-06,0.11884422600269318,0.014123949222266674,-2.1187306629144587e-05,0.07848448306322098,0.006159814540296793,8.489215419501132,2.2440064991751587,5.0355651683403515
6,Lemon tree - Fools Garden.mp3,143.5546875,182501,1294.3333333333333,0.29325989768447513,0.3051394248102315,0.09311006857351893,0.4325873660276809,0.28317940147805376,0.08019057342146875,0.2464271288178083,0.14981907357187316,0.022445754805934345,5.0533697814033784,32.25511280134638,1040.392301827579,-5.680118712384099,58.96650809927741,3477.049077422149,0.013718097441934068,3.5448539706927233,12.565989673535968,0.13027428090572357,0.0736665204167366,0.005426756106317043,1450.3153744109636,939.9261844763425,883461.2322642554,1777.8697334591443,652.6469845407087,425948.08643008,22.073065301868706,7.167874642805516,51.378426894974304,2712.30026575803,1959.8875492367818,3841159.2056533587,1.4158798144073876,1.9041942829577005,3.6259558672487913,0.016072590757210452,0.08081702000724485,0.006531390722851415,0.06558425950561146,0.06552026307971483,0.004292904874035042,-7.456883031409234e-05,0.11742862313985825,0.013789481483399868,-0.00027234756271354854,0.057647544890642166,0.0033232392743229866,5.115356009070295,2.419749903049345,5.855189593307315
7,Calum Scott - You Are The Reason (Official).mp3,172.265625,216714,1289.9642857142858,0.21842246618058214,0.291712711504832,0.08509630605350137,0.3863793535143589,0.28201862928834204,0.0795345072656753,0.2253202175719405,0.18045534873388133,0.03256413288666673,4.549249202818297,35.39936207986361,1253.1148356612853,-4.716416784182102,70.52105095499512,4973.218627797018,0.011821935119734754,2.5155092890419155,6.327786983256162,0.12349117547273636,0.07086637616157532,0.005022043362259865,1114.1839087793014,923.7802606299165,853369.9699294765,1409.2077545818138,808.4141791739494,653533.4850894903,23.820122835880273,5.737374127654758,32.9174618806822,2040.8793257485972,1956.6102706187141,3828323.7510906374,1.0834222640771014,1.514244749209789,2.292937160509417,-0.02479412431749664,0.09464999166624001,0.008958620922419303,0.05245130792859907,0.04868944778323184,0.0023706623254360596,9.67087999015348e-06,0.12918463349342346,0.016688670963048935,4.637859819922596e-05,0.036191899329423904,0.0013098536292091012,5.2895056689342415,2.7148744760247476,7.370543420570648
8,Ben E. King - Stand By Me (HQ Video Remastered In 1080p).mp3,78.30255681818181,96059,1263.9342105263158,0.35238295182259766,0.32285698852076306,0.10423663503669613,0.4136094282207391,0.29647598959499855,0.08789801240633369,0.23616896220179454,0.16473708744491583,0.027138307979833846,2.2464564373176246,31.183391445380295,972.403902035817,-4.532103096683455,67.28062143879026,4526.682021189804,0.008437655716898359,3.550926323433523,12.609077754453116,0.08340413868427277,0.05812026560306549,0.0033779654186218977,1875.087031412969,1058.5205599240721,1120465.7757819712,2186.341388897752,522.6834459758869,273197.98469722795,22.0580108554332,6.233767198984062,38.8598534911296,3804.4603282822177,2109.874873559343,4451571.982077054,0.7155946235181785,1.057069167116293,1.1173952240679335,-0.002942075544067289,0.07666843921314319,0.005878049571379433,0.07721230710623066,0.0800416708537104,0.0064066690730537135,-1.463142780266935e-06,0.08862608671188354,0.00785458367317915,3.2164689400815405e-06,0.0305457953363657,0.0009330455795861781,3.9659682539682537,1.4390116115763814,2.070754418251654
9,Billie Eilish - when the party's over.mp3,129.19921875,153009,1275.075,0.2748708127206983,0.3188587731421826,0.10167091720973785,0.44280102228361495,0.2909808818331543,0.0846698735924001,0.2457922807545025,0.15139183615648877,0.022919488054833143,3.410650408389993,43.09280301522766,1856.9896717092138,-13.622712911754853,80.87439991930712,6540.668562308024,0.003988872985261061,2.137583688544909,4.569264025533259,0.08653169870376587,0.08453358709812164,0.0071459268219769,1315.0629470508163,1004.2065323870953,1008430.7596889144,1841.971607677591,660.7238878151245,436556.0559295332,20.443819077637176,6.36190275308707,40.473806639736836,2291.623642865349,2275.6801333564213,5178720.0693531,0.6403191042253743,1.1369678979944744,1.2926960010699733,0.00442531098493916,0.09320360465276924,0.008686911920269706,0.05629217661571207,0.07205955399945814,0.005192579322600823,2.745065557974158e-06,0.10855255275964737,0.011783656664192677,-5.619486955765751e-07,0.025999804958701134,0.0006759898387826979,15.440108843537416,4.437353837563024,19.690109079735297
10,Manu Chao - Me Gustas Tu (2001).mp3,172.265625,225144,1286.537142857143,0.3748634181317804,0.2914230148601638,0.08492737359018725,0.5662912986652646,0.2464344706548059,0.06072994832691439,0.27305857805373823,0.09366080442001286,0.0087723462846039,5.426269272312267,31.70224109828905,1005.0320906540474,0.06479399831191664,36.61323501017148,1340.5289779100467,0.012687366582794918,3.0292909212220884,9.17660348539857,0.14791983366012573,0.05423198267817497,0.002941108075901866,2127.8323546782553,797.0361401879063,635266.6087656359,2362.6108091666943,474.9855721523834,225611.29375292698,19.88096258612616,6.031466105598661,36.37858338298548,4463.293844406081,1821.2629834010866,3316998.854707027,1.9626049933443193,2.3587831699568182,5.563858042871535,0.0033332014604564543,0.059751786973165924,0.0035702760464866013,0.09341534593895123,0.05368596724055173,0.002882183078553594,1.3127438478477416e-06,0.10801371932029724,0.011666963808238506,1.251017238246277e-05,0.07865554839372635,0.006186694838106632,3.2473106575963717,1.4088653666555473,1.9849016213614696
